,id,Name,Team,Pos,Pos Rk,FF Pt,G,P Att,Comp,P Yds,P TD,INT,Sk,Carry,Ru Yds,Ru TD,Targ,Rec,Re Yd,Re TD,Car%,Targ%,SCK,FR,TD,PA,YA
108,RB69,Kenyan Drake,IND,RB,69,60.0,14.0,,,,,,,56.0,244.0,2.0,20.0,14.0,106.0,0.0,12%,4%,,,,,
109,RB70,Trayveon Williams,CIN,RB,70,59.0,14.0,,,,,,,49.0,216.0,2.0,18.0,14.0,102.0,1.0,13%,3%,,,,,
110,RB71,Raheem Blackshear,CAR,RB,71,59.0,14.0,,,,,,,38.0,162.0,1.0,23.0,17.0,132.0,1.0,9%,4%,,,,,
111,RB72,Isaiah Spiller,LAC,RB,72,57.0,14.0,,,,,,,62.0,262.0,2.0,12.0,9.0,66.0,0.0,15%,2%,,,,,
112,RB73,Zamir White,LV,RB,73,55.0,14.0,,,,,,,76.0,322.0,3.0,6.0,4.0,33.0,0.0,19%,1%,,,,,
113,RB74,Corey Clement,ARZ,RB,74,54.0,14.0,,,,,,,50.0,213.0,2.0,17.0,13.0,91.0,0.0,12%,3%,,,,,
114,RB75,Kene Nwangwu,MIN,RB,75,54.0,14.0,,,,,,,51.0,219.0,2.0,12.0,9.0,67.0,0.0,13%,2%,,,,,
115,RB76,Deuce Vaughn,DAL,RB,76,53.0,14.0,,,,,,,33.0,142.0,1.0,22.0,17.0,124.0,1.0,7%,4%,,,,,
116,RB77,Ke'Shawn Vaughn,TB,RB,77,50.0,14.0,,,,,,,58.0,248.0,2.0,11.0,8.0,59.0,0.0,14%,2%,,,,,
117,RB78,Tony Jones Jr.,DEN,RB,78,49.0,14.0,,,,,,,55.0,223.0,2.0,11.0,8.0,59.0,0.0,13%,2%,,,,,
118,RB79,Kendre Miller,NO,RB,79,48.0,14.0,,,,,,,44.0,189.0,1.0,15.0,11.0,86.0,0.0,10%,3%,,,,,
119,RB80,Craig Reynolds,DET,RB,80,48.0,14.0,,,,,,,40.0,172.0,2.0,14.0,10.0,84.0,0.0,9%,2%,,,,,
120,RB81,Ty Montgomery,NE,RB,81,47.0,14.0,,,,,,,13.0,52.0,0.0,28.0,21.0,155.0,1.0,3%,5%,,,,,
121,RB82,Hassan Haskins,TEN,RB,82,46.0,14.0,,,,,,,28.0,119.0,1.0,21.0,16.0,113.0,1.0,6%,4%,,,,,
122,RB83,Travis Homer,CHI,RB,83,44.0,14.0,,,,,,,24.0,106.0,1.0,19.0,15.0,110.0,0.0,5%,4%,,,,,
123,RB84,Gary Brightwell,NYG,RB,84,43.0,14.0,,,,,,,41.0,176.0,2.0,11.0,8.0,57.0,0.0,10%,2%,,,,,
